id,question_stem,choices,urdu_question_stem,urdu_choices,answerKey
14-133,What would thrive if Eagles died out,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['air', 'hamsters', 'emotions', 'magic'], dtype=object)}",اگر عقاب ختم ہو جائیں تو کیا چیز پروان چڑھے گی؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ہوا', 'ہیمسٹرز', 'جذبات', 'جادو'], dtype=object)}",B
14-134,a decline in the number of predators often leads to,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a rise in the number of prey',
       'an increase in breeding between predators',
       'a decline in the number of prey',
       'a decrease in breeding between prey'], dtype=object)}",شکاریوں کی تعداد میں کمی اکثر باعث بنتی ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['شکار کی تعداد میں اضافہ',
       'شکاریوں کے درمیان افزائش نسل میں اضافہ', 'شکار کی تعداد میں کمی',
       'شکار کے درمیان افزائش نسل میں کمی'], dtype=object)}",A
14-135,"If our earth is anything, it is this","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['alien', 'nearest to Pluto', 'frozen solid', 'mountainous'],
      dtype=object)}",اگر ہماری زمین کچھ ہے، تو وہ یہ ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اجنبی', 'پلوٹو کے قریب ترین', 'مکمل طور پر منجمد', 'پہاڑی'],
      dtype=object)}",D
14-139,"As bacterial resistance to antibiotics rises, the ability of medical professionals to","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['prescribe anti-anxiety and sleep aids will increase',
       'treat non-bacterial infections in humans will decrease',
       'treat bacterial-related conditions in humans will decrease',
       'treat problems of the digestive system in humans will increase'],
      dtype=object)}",جیسے جیسے اینٹی بائیوٹکس کے خلاف بیکٹیریا کی مزاحمت بڑھتی ہے، طبی ماہرین کی صلاحیت...,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['بے چینی دور کرنے اور نیند کی دوائیں تجویز کرنے کی صلاحیت بڑھ جائے گی',
       'انسانوں میں غیر بیکٹیریائی انفیکشن کا علاج کرنے کی صلاحیت کم ہو جائے گی',
       'انسانوں میں بیکٹیریا سے متعلقہ بیماریوں کا علاج کرنے کی صلاحیت کم ہو جائے گی',
       'انسانوں میں نظامِ انہضام کے مسائل کا علاج کرنے کی صلاحیت بڑھ جائے گی'],
      dtype=object)}",C
14-140,"as the resistance to something increases , how easily that something can be done will do what?","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['rise', 'fly', 'plummet', 'soar'], dtype=object)}",جیسے جیسے کسی چیز کی مزاحمت بڑھتی ہے، اس کام کو کرنے کی آسانی کا کیا ہوگا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['بڑھے گی', 'اڑ جائے گی', 'تیزی سے کم ہوگی', 'بہت بڑھ جائے گی'],
      dtype=object)}",C
14-141,Living underground can be used for hiding from what?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['food', 'hunters', 'dirt', 'water'], dtype=object)}",زیرِ زمین رہ کر کس سے چھپا جا سکتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['خوراک', 'شکاریوں', 'مٹی', 'پانی'], dtype=object)}",B
14-143,"During a prolonged shortage of water, a tree's ability to add extra tissue and grow thick rings is slowed and the tree produces","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['wider growth rings', 'thinner growth rings', 'more leafy growths',
       'annual scar tissue'], dtype=object)}",پانی کی طویل قلت کے دوران، درخت کی اضافی بافتیں بنانے اور موٹے حلقے اگانے کی صلاحیت سست پڑ جاتی ہے، اور درخت پیدا کرتا ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['چوڑے نمو کے حلقے', 'پتلے نمو کے حلقے', 'زیادہ پتے دار نشوونما',
       'سالانہ زخم کی بافت'], dtype=object)}",B
14-148,Being near buildings or houses is the worst spot to be when there is an earthquake as you are likely to be,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['stones', 'nothing', 'kissed by one', 'crushed by one'],
      dtype=object)}",زلزلے کے وقت عمارتوں یا گھروں کے قریب ہونا بدترین جگہ ہے کیونکہ اس بات کا امکان ہے کہ آپ,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پتھروں کی زد میں آ جائیں', 'کو کچھ نہ ہو',
       'کسی ایک کے ذریعے چومے جائیں', 'کسی ایک کے نیچے کچل جائیں'],
      dtype=object)}",D
14-151,If an organism dies then the population of that organism will what?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['lessen', 'skyrocket', 'rise', 'grow'], dtype=object)}",اگر کوئی جاندار مر جائے تو اس کی آبادی کو کیا ہوگا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کم ہو جائے گی', 'بہت تیزی سے بڑھے گی', 'بڑھے گی', 'بڑھے گی'],
      dtype=object)}",A
14-152,A piece of pizza is placed within a box and becomes this when something is conducted throughout the box into the food:,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['toasted', 'meaty', 'frozen', 'cool'], dtype=object)}",پیزا کا ایک ٹکڑا ایک ڈبے میں رکھا جاتا ہے اور جب کوئی چیز پورے ڈبے سے کھانے میں منتقل ہوتی ہے تو یہ ہو جاتا ہے:,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['سِکا ہوا', 'گوشت والا', 'منجمد', 'ٹھنڈا'], dtype=object)}",A
14-153,Thermal conduction is when materials conduct what through those materials?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['air', 'hotness', 'electricity', 'cold'], dtype=object)}",حرارتی ایصال میں، مواد اپنے ذریعے کس چیز کی ترسیل کرتے ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ہوا', 'حرارت', 'بجلی', 'سردی'], dtype=object)}",B
14-155,Water will become vapor quicker in,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Jupiter', 'Earth', 'Mercury', 'Neptune'], dtype=object)}",پانی کہاں زیادہ تیزی سے بھاپ بنے گا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['مشتری', 'زمین', 'عطارد', 'نیپچون'], dtype=object)}",C
14-156,When would a puddle get smaller and disappear the fastest?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['on a snowy day', 'on a day without clouds', 'on a cloudy day',
       'on a dark day'], dtype=object)}",پانی کا جوہڑ سب سے تیزی سے کب چھوٹا ہو کر غائب ہو جائے گا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['برفباری والے دن', 'بغیر بادلوں والے دن', 'ابر آلود دن میں',
       'ایک تاریک دن پر'], dtype=object)}",B
14-158,"If the crust of a planet is adjusted in short order, a likely culprit is","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['moons', 'quivers', 'night', 'logs'], dtype=object)}",اگر کسی سیارے کی قشر میں قلیل مدت میں ردوبدل ہو، تو اس کا ممکنہ سبب ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['چاند', 'زلزلے', 'رات', 'لکڑی کے کندے'], dtype=object)}",B
14-159,In December in the northern hemisphere you need,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['short shorts', 'cooling fans', 'suntan lotion', 'mittens'],
      dtype=object)}",شمالی نصف کرہ میں دسمبر میں آپ کو ضرورت ہوتی ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['مختصر نیکر کی', 'ٹھنڈک دینے والے پنکھوں کی', 'سن ٹین لوشن کی',
       'دستانوں کی'], dtype=object)}",D
14-162,A person who is working on setting up power for their cottage will avoid,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['installing new power outlets', 'working on their wiring',
       'installing electrical wires in walls', 'standing in a puddle'],
      dtype=object)}",ایک شخص جو اپنے کاٹیج میں بجلی لگانے کا کام کر رہا ہے، وہ گریز کرے گا,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['نئے پاور آؤٹ لیٹس لگانے سے', 'اپنی وائرنگ پر کام کرنے سے',
       'دیواروں میں بجلی کی تاریں لگانے سے',
       'پانی کے گڑھے میں کھڑے ہونے سے'], dtype=object)}",D
14-165,What environment has low rainfall?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['tropics', 'sandy zone', 'sandbox', 'forests'], dtype=object)}",کس ماحول میں بارش کم ہوتی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['حاری علاقے', 'ریتیلا علاقہ', 'ریت کا ڈبہ', 'جنگلات'], dtype=object)}",B
14-166,Which type of vegetation could you find in areas with low rainfall?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['sunflowers', 'cacti', 'rose bushes', 'palm trees'], dtype=object)}",کم بارش والے علاقوں میں آپ کو کس قسم کی نباتات مل سکتی ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['سورج مکھی', 'کیکٹس', 'گلاب کی جھاڑیاں', 'کھجور کے درخت'],
      dtype=object)}",B
14-167,What rotates on its axis?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['oceans', 'winds', 'blue world', 'people'], dtype=object)}",کون سی چیز اپنے محور پر گھومتی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['سمندر', 'ہوائیں', 'نیلی دنیا', 'لوگ'], dtype=object)}",C
14-169,The animals that never migrate never do so because they were born,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['with the instinct', 'are too lazy', 'seventeen',
       'without the instinct'], dtype=object)}",وہ جانور جو کبھی ہجرت نہیں کرتے، ایسا اس لیے نہیں کرتے کیونکہ وہ پیدا ہوئے تھے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جبلت کے ساتھ', 'بہت سست ہیں', 'سترہ', 'جبلت کے بغیر'],
      dtype=object)}",D
14-171,Naomi looks around outside on a prairie and it is cloudless but the sun is nowhere to be seen. It is,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['night', 'noon', 'morning', 'afternoon'], dtype=object)}",نعومی باہر ایک پریری میں اردگرد دیکھتی ہے، آسمان صاف ہے لیکن سورج کہیں نظر نہیں آرہا۔ یہ وقت ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['رات', 'دوپہر', 'صبح', 'سہ پہر'], dtype=object)}",A
14-172,When the sun is set it is called what?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['sleep time', 'noon', 'morning', 'dawn'], dtype=object)}",جب سورج غروب ہو جاتا ہے تو اسے کیا کہتے ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['سونے کا وقت', 'دوپہر', 'صبح', 'فجر'], dtype=object)}",A
14-173,An item that might have more tightly packed matter is,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['helium', 'gold', 'orange juice', 'wood'], dtype=object)}",ایک ایسی شے جس میں مادہ زیادہ ٹھوس یا گنجان ہو سکتا ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ہیلیم', 'سونا', 'مالٹے کا رس', 'لکڑی'], dtype=object)}",B
14-176,"Cells can make up components of prisons, jails, holding areas and","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['lifeforms', 'space stone', 'blue jeans', 'filtered water'],
      dtype=object)}",سیل قید خانوں، جیلوں، حراستی مراکز اور ____ کے اجزاء ہو سکتے ہیں۔,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جاندار', 'خلائی پتھر', 'نیلی جینز', 'فلٹر شدہ پانی'], dtype=object)}",A
14-177,migration is when what move to different locations in an annual cycle?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['animal figurines', 'sedentary animals', 'habitual creatures',
       'currents'], dtype=object)}",ہجرت وہ عمل ہے جس میں کون سالانہ چکر کے مطابق مختلف مقامات پر نقل مکانی کرتے ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جانوروں کے مجسمے', 'ایک جگہ رہنے والے جانور', 'عادی مخلوق',
       'رویں'], dtype=object)}",C
14-178,A goose in the autumn is most likely,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['nesting', 'hibernating', 'in flight', 'laying eggs'], dtype=object)}",خزاں میں ایک ہنس زیادہ تر,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['گھونسلا بنا رہی ہوتی ہے', 'سردیوں کی نیند سو رہی ہوتی ہے',
       'پرواز میں ہوتی ہے', 'انڈے دے رہی ہوتی ہے'], dtype=object)}",C
14-180,When the moon orbits our planet,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ocean levels rise and drop',
       'rivers flow in the opposite direction',
       'all living things go to sleep.', 'sea levels stay the same'],
      dtype=object)}",جب چاند ہمارے سیارے کے گرد گردش کرتا ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['سمندر کی سطح بلند اور پست ہوتی ہے', 'دریا مخالف سمت میں بہتے ہیں',
       'تمام جاندار سو جاتے ہیں', 'سمندر کی سطح یکساں رہتی ہے'],
      dtype=object)}",A
14-181,Which causes the electric fan to work?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['the blades run themselves',
       'power outlets allow the blades to rotate',
       'the air pushes the fan', 'power outlets allow the fan to think'],
      dtype=object)}",بجلی کا پنکھا کس وجہ سے چلتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اس کے پر خود بخود چلتے ہیں',
       'پاور آؤٹ لیٹس پروں کو گھومنے کی اجازت دیتے ہیں',
       'ہوا پنکھے کو دھکیلتی ہے',
       'پاور آؤٹ لیٹس پنکھے کو سوچنے کی اجازت دیتے ہیں'], dtype=object)}",B
14-183,Eureka lemon trees gain 12-24 inches in the spring due to,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['snow', 'rain', 'darkness', 'the moon'], dtype=object)}",موسمِ بہار میں یوریکا لیموں کے درخت کس وجہ سے 12 سے 24 انچ تک بڑھتے ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['برف', 'بارش', 'اندھیرا', 'چاند'], dtype=object)}",B
14-184,A patch of thistle grows larger when this is increased:,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['dampness', 'yeast', 'flour', 'milk production'], dtype=object)}",تھسل کا جھنڈ اس چیز کے بڑھنے پر بڑا ہو جاتا ہے:,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['نمی', 'خمیر', 'آٹا', 'دودھ کی پیداوار'], dtype=object)}",A
14-186,matter in the liquid phase has what shape?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['circle', 'adaptable', 'triangle', 'square'], dtype=object)}",مائع حالت میں مادے کی شکل کیسی ہوتی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['دائرہ', 'موافقت پذیر', 'مثلث', 'مربع'], dtype=object)}",B
14-187,An acquired characteristic is,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a permanent welt gotten many years ago',
       ""freckles from your mom's genes"",
       ""a large nose just like your dad's"",
       ""brown, curly hair that resembles your sister's""], dtype=object)}",ایک اکتسابی خصوصیت ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک مستقل ابھار جو کئی سال پہلے پڑا ہو',
       'آپ کی والدہ کے جینز سے ملنے والی چھائیاں',
       'بالکل آپ کے والد جیسی بڑی ناک',
       'بھورے، گھنگریالے بال جو آپ کی بہن سے ملتے جلتے ہوں'], dtype=object)}",A
14-188,"If a fish lives in water that is very dark, the fish may calibrate its body over time to","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['absorb helium', 'turn invisible', 'eat more', 'be blind'],
      dtype=object)}",اگر کوئی مچھلی بہت تاریک پانی میں رہتی ہے، تو وقت کے ساتھ اس کا جسم خود کو اس قابل بنا لیتا ہے کہ وہ,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ہیلیم جذب کر سکے', 'غائب ہو سکے', 'زیادہ کھا سکے',
       'اندھی ہو جائے'], dtype=object)}",D
14-193,Which relationship is true?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['birds have warm blood; snakes have warm blood',
       'birds have hot blood; snakes have cold blood',
       'snakes and birds have the same type of blood',
       'birds have cold blood; snakes have warm blood'], dtype=object)}",کون سا تعلق درست ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پرندوں کا خون گرم ہوتا ہے؛ سانپوں کا خون گرم ہوتا ہے',
       'پرندوں کا خون گرم ہوتا ہے؛ سانپوں کا خون سرد ہوتا ہے',
       'سانپوں اور پرندوں کا خون ایک ہی قسم کا ہوتا ہے',
       'پرندوں کا خون سرد ہوتا ہے؛ سانپوں کا خون گرم ہوتا ہے'],
      dtype=object)}",B
14-196,If you want to watch TV it must first have,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['more Chinese parts', 'a flux capacitor', 'been plugged in',
       'a cloudless day'], dtype=object)}",اگر آپ ٹی وی دیکھنا چاہتے ہیں تو سب سے پہلے اس کا...,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['زیادہ چینی پرزوں پر مشتمل ہونا', 'ایک فلکس کپیسیٹر ہونا',
       'پلگ لگا ہونا', 'بے بادل دن ہونا'], dtype=object)}",C
14-198,Which would you have the most difficult time spotting in the woods?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['an adult Brontosaurus', 'a polar bear', 'a large airplane',
       'satanic leaf-tailed gecko'], dtype=object)}",جنگل میں آپ کو کس چیز کو تلاش کرنے میں سب سے زیادہ مشکل ہوگی؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک بالغ برونٹوسورس', 'ایک قطبی ریچھ', 'ایک بڑا ہوائی جہاز',
       'شیطانی پتے جیسی دُم والی گیکو'], dtype=object)}",D
14-199,The outer shell of our planet is made of,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['sedimentary formations', 'plastic', 'foam', 'cheese'],
      dtype=object)}",ہمارے سیارے کا بیرونی خول کس چیز سے بنا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['تہہ دار چٹانوں', 'پلاسٹک', 'فوم', 'پنیر'], dtype=object)}",A
14-200,"Using what the surface of the Earth is made of, you could build","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a tire', 'computer', 'a castle', 'a telephone'], dtype=object)}",زمین کی سطح جن چیزوں سے بنی ہے، ان کا استعمال کرتے ہوئے آپ بنا سکتے ہیں,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک ٹائر', 'کمپیوٹر', 'ایک قلعہ', 'ایک ٹیلی فون'], dtype=object)}",C
14-203,In which situation would there be the greatest amount of humidity?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['in the desert', 'during snowfall', 'before a hurricane',
       'on a mountain'], dtype=object)}",کس صورتحال میں نمی سب سے زیادہ ہوگی؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['صحرا میں', 'برفباری کے دوران', 'سمندری طوفان سے پہلے', 'پہاڑ پر'],
      dtype=object)}",C
14-204,Greenhouses are structures used to house plants during,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['nothing', 'freezing conditions', 'cold beverages', 'space'],
      dtype=object)}",گرین ہاؤسز ایسی جگہیں ہیں جو پودوں کو کس حالت کے دوران رکھنے کے لئے استعمال ہوتی ہیں؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کچھ بھی نہیں', 'شدید سردی کے حالات', 'ٹھنڈے مشروبات', 'خلا'],
      dtype=object)}",B
14-212,Lungs are to hampsters as ________ are black tipped sharks.,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['gills', 'hearts', 'stomachs', 'fins'], dtype=object)}",پھیپھڑوں کا ہیمسٹرز سے وہی تعلق ہے جو ________ کا بلیک ٹپ شارک سے ہے۔,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['گلپھڑے', 'دل', 'معدے', 'فِنز'], dtype=object)}",A
14-213,Gills are used by what for breathing water?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['marlins', 'eagles', 'zebras', 'goats'], dtype=object)}",پانی میں سانس لینے کے لیے گلپھڑے کون استعمال کرتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['مارلن', 'عقاب', 'زیبرا', 'بکریاں'], dtype=object)}",A
14-214,Some of these creatures with fluffy butts live in grassy areas,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['snakes', 'doe', 'scorpions', 'turtles'], dtype=object)}",ان میں سے کچھ روئیں دار دُموں والے جاندار گھاس کے میدانوں میں رہتے ہیں,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['سانپ', 'ہرنی', 'بچھو', 'کچھوے'], dtype=object)}",B
14-215,Where would a hare live?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['in the zoo for its safety from sharks', 'a field for sustenance',
       'space for its low gravity', 'a desert for its high temperatures'],
      dtype=object)}",خرگوش کہاں رہے گا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['شارکوں سے اپنی حفاظت کے لیے چڑیا گھر میں',
       'غذا کے لیے ایک کھیت میں', 'کم کشش ثقل کے لیے خلا میں',
       'زیادہ درجہ حرارت کے لیے صحرا میں'], dtype=object)}",B
14-216,"if a person looked a their head in a mirror, and moved toward it, what would happen?","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['the head would start to grow', 'the head would explode',
       'the head would start to shrink', 'the head would disappear'],
      dtype=object)}",اگر کوئی شخص آئینے میں اپنا سر دیکھے اور اس کی طرف بڑھے، تو کیا ہوگا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['سر بڑا ہونا شروع ہو جائے گا', 'سر پھٹ جائے گا',
       'سر سکڑنا شروع ہو جائے گا', 'سر غائب ہو جائے گا'], dtype=object)}",A
14-217,A telescope uses what to redirect light,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['money', 'shiny glass', 'lasers', 'people'], dtype=object)}",ایک دوربین روشنی کا رخ موڑنے کے لیے کیا استعمال کرتی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پیسہ', 'چمکدار شیشہ', 'لیزر', 'لوگ'], dtype=object)}",B
14-218,"When the Mountain held the Hound's face to the fire, it caused","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['joy', 'children', 'beautiful skin', 'scars'], dtype=object)}",جب ماؤنٹین نے ہاؤنڈ کا چہرہ آگ میں دبایا، تو اس کا نتیجہ کیا نکلا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['خوشی', 'بچے', 'خوبصورت جلد', 'زخم کے نشان'], dtype=object)}",D
14-219,"Fires, although dangerous might help with","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['magic', 'my feelings', 'cultivation', 'sadness'], dtype=object)}",آگ، خطرناک ہونے کے باوجود، کس کام میں مدد دے سکتی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جادو', 'میرے احساسات', 'کاشتکاری', 'اداسی'], dtype=object)}",C
14-220,"In a system of a body, this thing is broken down into smaller pieces to be effectively used:","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['wax', 'nutriment', 'stones', 'glass'], dtype=object)}",جسم کے نظام میں، اس چیز کو مؤثر استعمال کے لیے چھوٹے ٹکڑوں میں توڑا جاتا ہے:,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['موم', 'غذا', 'پتھر', 'شیشہ'], dtype=object)}",B
14-221,Which likely occurs in the digestive system?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['twinkies are converted to usable material',
       'air comes in and out', 'twinkies are baked fresh',
       'plastic is found here'], dtype=object)}",نظامِ انہضام میں ممکنہ طور پر کیا ہوتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ٹونکیز قابلِ استعمال مواد میں تبدیل ہو جاتی ہیں',
       'ہوا اندر اور باہر آتی جاتی ہے', 'ٹونکیز تازہ بیک کی جاتی ہیں',
       'یہاں پلاسٹک پایا جاتا ہے'], dtype=object)}",A
14-222,A creature that is incapable of giving birth to offspring that are living as they exit is the,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['bear', 'human', 'beaver', 'salamander'], dtype=object)}",وہ جاندار جو زندہ بچے پیدا کرنے کی صلاحیت نہیں رکھتا، وہ ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ریچھ', 'انسان', 'اود بلاؤ', 'سیلامینڈر'], dtype=object)}",D
14-223,What gives birth to live young?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['tarantulas', 'wildcats', 'vultures', 'anacondas'], dtype=object)}",کون سا جانور زندہ بچے دیتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ٹیرنٹولا', 'جنگلی بلیاں', 'گدھ', 'ایناکونڈا'], dtype=object)}",B
14-228,thermal energy insulators are often good electrical insulators like:,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['metallic rocks on the ground', 'fan on the ceiling',
       'the rubber sandwiched between two iron slabs',
       'metal knives for sale'], dtype=object)}",حرارتی انسولیٹر اکثر اچھے برقی انسولیٹر بھی ہوتے ہیں، جیسا کہ:,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['زمین پر موجود دھاتی چٹانیں', 'چھت پر لگا پنکھا',
       'لوہے کی دو سلیبوں کے درمیان موجود ربڑ', 'برائے فروخت دھاتی چاقو'],
      dtype=object)}",C
14-232,A mechanism that a ____ uses is a ____,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['see-saw; pulley', 'crane; pulley', 'lever; lever',
       'cat; fishing rod'], dtype=object)}",ایک ____ میں استعمال ہونے والا میکانزم ____ ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['سیسا؛ پُلی', 'کرین؛ پُلی', 'لیور؛ لیور',
       'بلی؛ مچھلی پکڑنے کا کانٹا'], dtype=object)}",B
14-234,As rain freezes in the mountains it splits,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['granite', 'trees', 'bears', 'cars'], dtype=object)}",پہاڑوں میں جب بارش جمتی ہے تو وہ توڑ دیتی ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['گرینائٹ', 'درخت', 'ریچھ', 'گاڑیاں'], dtype=object)}",A
14-238,What conducts electricity?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a lego brick', 'suit of armor', 'a wooden table', 'a T-shirt'],
      dtype=object)}",کون سی چیز بجلی کی موصل ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['لیگو کی اینٹ', 'زرہ بکتر', 'لکڑی کی میز', 'ایک ٹی شرٹ'],
      dtype=object)}",B
