id,question_stem,choices,answerKey,pashto_question,pashto_choices
7-725,Wind can cause,"{'text': array(['basements to flood due to weather',
       'small birds to kill large birds', 'waterfalls to flow backwards',
       'stones to weather down to pebbles'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,باد کولی شي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د هوا له امله زیرمې ډکې کړي"", ""کوچني مرغۍ لویې مرغۍ ووژني"", ""د اوبو آبشارونه شاتګ وکړي"", ""ډبرې د خټو په توګه خرابې شي""]}"
1300,Inherited characteristics,"{'text': array(['include mice being able to navigate a maze',
       'include learning to sit on command',
       'include dolphins doing tricks for their trainers',
       'include spots on a ladybug'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,وراثتي ځانګړتیاوې,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""شاملوي چې مچان د یوه لابیرنت څخه تیریږي"", ""شاملوي چې د امر په اساس ناستې زده کړي"", ""شاملوي چې د ډلفینو د روزونکو لپاره ټرېکونه ترسره کړي"", ""شاملوي چې د مچۍ پر مخ د ځایونو شتون""]}"
9-230,How could we determine approximately how far a bird is from the ground?,"{'text': array(['Measure the altitude of the bird using a reference point, such as a tall building.',
       'Identify the species of bird',
       'Ask the bird how high it was when it returns back to earth',
       ""Measure the bird's mass""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,موږ څنګه کولی شو تقریبي توګه معلومه کړو چې یوه مرغۍ له ځمکې څومره لیرې ده؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د مرغۍ ارتفاع د یوې مرجع نقطې په کارولو سره اندازه کړئ، لکه یوه لوړه ودانۍ."", ""د مرغۍ نوعه وپیژني"", ""مرغۍ ته وپوښتئ چې کله ځمکې ته راستنېږي څومره لوړه وه"", ""د مرغۍ وزن اندازه کړئ""]}"
9-988,Endangered pandas are sometimes,"{'text': array(['accidentally dropped into volcanoes',
       'confined to enclosures to be viewed by the public',
       'found eating corn in the middle of North America',
       'made into delicious rare steaks'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,خطر سره مخامخ پانډاګان کله ناکله,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د آتش فشانونو ته په تصادفي توګه غورځول کیږي"", ""د عامه لیدنې لپاره په قید کې ساتل کیږي"", ""په شمالي امریکا کې د ذرت خوړلو پر مهال موندل کیږي"", ""په خوندور نایاب سټیکونو بدل شي""]}"
9-393,Algae can be found in,"{'text': array(['reservoir', 'meat', 'street', 'tree'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,الجی په کوم ځای کې موندل کیدی شي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""ذخیره"", ""غوښه"", ""کوڅه"", ""ونه""]}"
7-823,A toaster converts electrical energy into heat energy for toasting much like,"{'text': array(['a campfire toasts bread', 'a microwave heats soup',
       'a fire burns paper', 'a small oven works'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,ټوسټر بریښنایي انرژي د ټوسټ کولو لپاره تودوخې ته بدلوي، لکه څنګه چې,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د کیمپ اور ډوډۍ ټوسټ کوي"", ""مایکروویو شوربا تودوي"", ""اور کاغذ سوځوي"", ""یوه کوچنۍ تنور کار کوي""]}"
9-24,"An octopus, when in danger and unable to swim to safety, may find itself","{'text': array(['mimicking other things', 'melting into sand',
       'creating new homes', 'mocking other fish'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,یو اکټوپس، کله چې په خطر کې وي او لامبو ته یې ونه شي کولی، ممکن,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د نورو شیانو نقل وکړي"", ""په شګو کې ویلې شي"", ""نوي کورونه جوړ کړي"", ""نور ماهیان ملنډې وکړي""]}"
570,What does someone do when creating music?,"{'text': array(['hit a toy baseball with a bat',
       'shake a baby rattle with your hand',
       'bang the wall with your fist',
       'pluck the strings of a fingerboard with your fingers'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,یو څوک د موسیقۍ په جوړولو کې څه کوي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د لوبو بیسبال ته د بیټ سره ووهي"", ""د ماشوم جنګلک په لاس کې وښوروي"", ""دیوال ته مټۍ ووهي"", ""د فنګربورډ تارونه په ګوتو وڅیچي""]}"
9-124,The pull the human planet space rock orbiter has on certain bodies of dihydrogen monooxide results in?,"{'text': array(['telescope views', 'water level fluctuations', 'animal',
       'plant harvesting'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,هغه کشش چې د انسان سیارې شاوخوا ګرځیدونکی فضایي ډبره د ډای‌هایډروجن مونوآکسایډ ځینو ذخیرو باندې لري، پایله یې څه ده؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د تلسکوپ لیدونه"", ""د اوبو سطحې بدلونونه"", ""حیوان"", ""د فصل ریبل""]}"
9-199,"Since density = mass / volume, denser liquids such as water sink more than","{'text': array(['baby oil', 'corn syrup or', 'milk', 'honey'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,ځکه چې کثافت = وزن / حجم، نو ګاټې مایعات لکه اوبه ډیر ډوبیږي تر,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د ماشوم تیل"", ""د جوارو شربت یا"", ""شیدې"", ""شات""]}"
767,Photosynthesis can be performed by,"{'text': array(['a cabbage cell', 'a bee cell', 'a bear cell', 'a cat cell'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,فوتوسنتیز د کوم لخوا ترسره کیدی شي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د کرم حجره"", ""د مچۍ حجره"", ""د ییږ حجره"", ""د پیشو حجره""]}"
28,The force exerted on an object and distance traveled have what kind of relationship?,"{'text': array(['reverse', 'inverse', 'equal', 'direct'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,په یو شی باندې اچول شوې قوه او طی شوې واټن څه ډول اړیکه لري؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""برعکس"", ""معکوس"", ""مساوي"", ""مستقیم""]}"
9-1134,all cells use cellular respiration to,"{'text': array(['photosynthesize', 'release waste', 'perform meiosis',
       'release energy'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,ټولې حجرې سیلولر تنفس د دې لپاره کاروي چې,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""فوتوسنتیز وکړي"", ""فاضله مواد خوشې کړي"", ""میوسس ترسره کړي"", ""انرژي خوشې کړي""]}"
9-1030,The viewing oriented sensor of a prairie creature are for what?,"{'text': array(['reproductive purposes', 'viewing sounds', 'sensing views',
       'sensing tastes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,د صحرایي ژوي د لید لپاره حسي غړی د څه لپاره دي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د تولید موخو لپاره"", ""د غږونو لیدل"", ""د لیدنې حس"", ""د خوندونو حس""]}"
9-18,"A dog is going to have to corral sheep for the afternoon, so it needs to prepare its body for the enormous workload ahead of it. The dog is","{'text': array(['breaks for birds on the road', 'given a large breakfast',
       'eats a few corn cobs', 'given two apples to watch'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,یو سپی باید ماسپښین پسونه راټول کړي، نو هغه باید خپل بدن د سختې کار لپاره چمتو کړي. سپی,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د سړک پر مرغیو ودریږي"", ""لوی ناشته ورکول کیږي"", ""څو جوارو ښکرې خوري"", ""دوه مڼې ورکول کیږي چې وګوري""]}"
8-378,"A woman sells bracelets that she makes. The bracelets gain popularity, and the woman makes incredibly large amounts of money from the sales. After a while, very few people are still buying the bracelets, so","{'text': array(['the woman makes more money',
       'the woman makes the same amount of money',
       'the woman spends more money', 'the woman makes less money'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,یوه ښځه د لاسبند پلورنه کوي. لاسبندونه مشهور شي، او ښځه ډیرې پیسې ترلاسه کړي. وروسته، لږ خلک لاسبندونه اخلي، نو,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""ښځه ډیرې پیسې ګټي"", ""ښځه ورته اندازه پیسې ګټي"", ""ښځه ډیرې پیسې مصرفوي"", ""ښځه لږې پیسې ګټي""]}"
7-677,A desert environment is,"{'text': array(['dry, grass covered, and humid', 'lush, green, and tropical',
       'arid, parched, and sun-baked', 'dry, damp, and lush'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,د صحرا چاپیریال دی,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""وچ، واښه پوښلی، او لندبل"", ""شنه، سبز، او استوایي"", ""وچ، تږی، او لمر سوځولی"", ""وچ، لندبل، او سبز""]}"
9-786,Seasons are caused by what rotating on its axis?,"{'text': array(['Our Planet', 'The Atmosphere', 'The Equator', 'The Sun'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,موسمونه د کوم شي د خپل محور شاوخوا ګرځیدو له امله رامنځته کیږي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""زموږ سیاره"", ""اتموسفیر"", ""استوا"", ""لمر""]}"
9-463,Which is best an letting electricity pass through?,"{'text': array(['tile flooring', 'human flesh', 'hockey stick', 'a steak knife'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,د بریښنا تیریدو لپاره تر ټولو غوره کوم دی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د ټایل فرش"", ""د انسان پوست"", ""د هاکي لرګی"", ""د سټیک چاقو""]}"
7-71,Asteroids crashing on planets can leave behind,"{'text': array(['large, bowl-shaped cavities in the ground',
       'aliens and foreign foods', ""small dents in the planet's core"",
       'lakes filled with salty water'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,سیارو ته د استروید ټکر شاته پریښودلی شي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""لویې، کاسه شکله خندقونه په ځمکه کې"", ""اجنبیان او بهرنۍ خواړه"", ""په سیارې مرکز کې کوچنې ګډوډې"", ""د مالګینو اوبو ډکې جهیلونه""]}"
9-1053,What is the formula of the substance which best helps plants grow,"{'text': array(['NH4', 'C4H4', 'CO2', 'H2O'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,کوم ماده تر ټولو ډیره بوټو ته د ودې لپاره مرسته کوي، د هغې فورمول څه دی,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""NH4"", ""C4H4"", ""CO2"", ""H2O""]}"
9-437,You can experience a change of pressure when,"{'text': array(['Yelling really loud', 'Soaring the skies', 'Going walking',
       'riding a bike'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,تاسو د فشار بدلون تجربه کولی شئ کله چې,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""ډیر لوړ چیغې وهئ"", ""آسمانونو ته الوزئ"", ""پلی ته لاړ شئ"", ""بایسکل وچلوئ""]}"
1787,A small creek absorbing heat energy can result in,"{'text': array(['the creek water getting colder', 'a parched creek bed',
       'tributaries branching off from the creek',
       'a runoff of extra water'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,یوه کوچنۍ ویالې ته د تودوخې انرژي جذبول پایله لري,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د ویالې اوبه سړې شي"", ""وچه ویاله"", ""د ویالې څانګې جلا شي"", ""اضافي اوبو ته وروسته تلل""]}"
7-107,Summertime  happens during June in all but which location?,"{'text': array(['Australia', 'in Canada', 'United States', 'Europe'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,اوړی د جون په میاشت کې هر ځای وي پرته د کوم ځای؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""آسټرالیا"", ""کاناډا کې"", ""متحده ایالات"", ""اروپا""]}"
769,It takes more water to fill a bathtub than a,"{'text': array(['lake', 'pool', 'stomach', 'holding tank'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,د حمام ډنډ ډکولو لپاره ډیرو اوبو ته اړتیا ده تر,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""جهیل"", ""حوض"", ""معده"", ""ذخیره ټانکي""]}"
9-73,The eighth month of the year is winter in,"{'text': array(['Brazil', 'Indiana', 'London', 'Canada'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د کال اتمه میاشت ژمی دی په,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""برازیل"", ""ایندیانا"", ""لندن"", ""کاناډا""]}"
9-1194,birds use their peckers to catch,"{'text': array(['dogs', 'a tan', 'a ball', 'bees'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,مرغان خپل منقارونه د نیولو لپاره کاروي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""سپي"", ""تان"", ""توپ"", ""مچیو""]}"
9-416,transplanting seedling oaks has a positive impact on,"{'text': array(['fuel costs', 'the economy', 'housing value', 'the environment'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,د بلوط نهالو لیږدول مثبت اغیز لري په,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د تیلو لګښتونو"", ""اقتصاد"", ""د کور ارزښت"", ""چاپیریال""]}"
470,What is an example of hunting?,"{'text': array(['humans throwing a spear through an animal',
       'humans chewing on boiled animal muscles',
       'humans gathering animals in a gate',
       'humans plucking fruit from a tree'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د ښکار یوه بیلګه څه ده؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""انسانان یو حیوان ته نیزه وغورځوي"", ""انسانان د حیوان پخې غوښې خوري"", ""انسانان حیوانات په دروازه کې راټول کوي"", ""انسانان له ونې میوه غوڅوي""]}"
1297,Which of these has shape that changes depending on the container which it resides within?,"{'text': array(['paper', 'wood', 'stone', 'orange juice'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,د کوم شي شکل د لوښي له مخې بدلیږي چې پکې ځای شوی وي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""کاغذ"", ""لرګی"", ""ډبره"", ""د نارنج اوبه""]}"
8-346,What would be the flavor if you ate the item that fell and is thought to have hit Sir Issac Newton's head,"{'text': array(['Sweet', 'Salty', 'bitter', 'sour'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,که تاسو هغه شی وخورئ چې ویل کیږي سر آیزک نیوټن ته ولوید، خوند به یې څنګه وي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""خوږ"", ""مالګین"", ""تریخ"", ""ترش""]}"
7-807,Earth's four layers are comprised mainly of,"{'text': array(['stone', 'bacteria', 'water', 'air'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د ځمکې څلور طبقې اصلي ترکیب څه دی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""ډبره"", ""باکتریا"", ""اوبه"", ""هوا""]}"
8-463,"if coffee sits in the fridge and loses its liquid form, what is that point known as?","{'text': array(['the freezing point', 'the prime point', 'the boiling point',
       'the melting point'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,که چیرې قهوه په فریج کې پاتې شي او خپل مایع شکل له لاسه ورکړي، دا ټکی د څه په نوم یادیږي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د یخولو ټکی"", ""لومړنی ټکی"", ""د ایشیدو ټکی"", ""د ویلیدو ټکی""]}"
9-110,Mammals give birth to live,"{'text': array(['children', 'birds', 'fish', 'insects'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,ثدییات ژوندیو ته زیږون ورکوي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""بچي"", ""مرغان"", ""ماهیان"", ""حشرات""]}"
1611,"If a battery in an electromagnet is active, then what will happen to a nail in that electromagnet?","{'text': array(['it loses its magnetization', 'it loses its charge',
       'it may become magnetized', 'it gains a charge'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,که چیرې په برقي مقناطیس کې بیټري فعاله وي، نو هغه مېخ ته به څه پیښ شي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""خپله مقناطیسي ځواک له لاسه ورکوي"", ""خپل چارج له لاسه ورکوي"", ""ممکن مقناطیسي شي"", ""چارج ترلاسه کوي""]}"
9-942,Which of these is a factor in the shape of a fern's seed?,"{'text': array(['luck', 'humans', 'gold', 'inheritance'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,د فرن د تخم شکل کې کوم عامل رول لوبوي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""بخت"", ""انسانان"", ""سرو زر"", ""وراثت""]}"
9-1102,Which is recyclable?,"{'text': array(['An Elephant', 'A school notebook', 'A boat', 'A lake'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,کوم ریسایکل کیدی شي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""یو فیل"", ""د ښوونځي کتابچه"", ""یوه کشتۍ"", ""یوه جهیل""]}"
9-774,"if the population in a habitat is on a steady decline, what condition is the habitat?","{'text': array(['it is a place to emigrate from', 'it is an ideal habitat',
       'it is an unsustainable habitat', 'it is a thriving abode'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,که چیرې په یوه زیستځای کې آبادي په دوامداره توګه کمیږي، زیستځای په کومه حالت کې دی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""دا د کډوالۍ ځای دی"", ""دا غوره زیستځای دی"", ""دا ناپایدار زیستځای دی"", ""دا مخ پر ودې استوګنځای دی""]}"
8-333,A teacher wants to show how to combine two substances together. The two things that he can use in order to mix them completely are,"{'text': array(['water and soda', 'water and oil', 'sand and rocks',
       'salt and bark'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,یو ښوونکی غواړي وښیي چې دوه مادې سره یوځای شي. هغه دوه شیان چې د بشپړ مخلوط لپاره کارول کیدی شي دا دي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""اوبه او سوډا"", ""اوبه او تیل"", ""شګه او ډبرې"", ""مالګه او پوستکی""]}"
9-573,Medicine is used to cure but can cause people to have allergic reactions such as,"{'text': array(['spider bites', 'vomiting', 'placebo effect', 'dance fever'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,درمل د درملنې لپاره کارول کیږي مګر کولی شي خلکو ته الرجیک غبرګون ولري لکه,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د غنجرې چیچل"", ""قی کول"", ""پلاسیبو اغیز"", ""د نڅا تبه""]}"
1955,Lightning may lead to,"{'text': array(['damage to local foliage', 'rainbows across the sky',
       'growth of local flora', 'firefighters getting the night off'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,بریښنا ممکن لامل شي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""سیمه ییزو بوټو ته زیان"", ""په آسمان کې شنه زنګ"", ""سیمه ییزو بوټو وده"", ""اورونشانان شپه رخصتي ترلاسه کړي""]}"
8-45,When would a nocturnal predator most likely hunt?,"{'text': array(['5 p.m.', '12 p.m.', '3 a.m.', '10 a.m.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,یو شپنی ښکاري به تر ټولو ډیر احتمال کله ښکار وکړي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""۵ بجې ماسپښین"", ""۱۲ بجې غرمه"", ""۳ بجې سهار"", ""۱۰ بجې سهار""]}"
9-674,Where water be located in its gas form?,"{'text': array(['inside a disc golf driver', 'inside of a brass pipe',
       'a mile up in the sky', 'inside a leather baseball'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,اوبه د خپل ګاز حالت کې چیرته موندل کیدی شي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د ډسک ګالف ډرایور دننه"", ""د پیتلو پایپ دننه"", ""یو میل آسمان ته پورته"", ""د څرمنې بیسبال دننه""]}"
898,Green parts of a life form absorb,"{'text': array(['carbon dioxide', 'light', 'oxygen', 'water'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,د ژوندي موجود شنه برخې جذب کوي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""کاربن ډای اکسایډ"", ""رڼا"", ""آکسیجن"", ""اوبه""]}"
7-1159,If a new species of predator joins a community,"{'text': array(['the new species will become herbivores',
       'prey will experience an increase in population',
       'prey will experience a drop in population',
       'the old species will die out'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,که چیرې د ښکاري نوې ډله ټولنې ته ورشي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""نوې ډله به بوټي خوړونکي شي"", ""ښکار به په شمیر کې ډیر شي"", ""ښکار به په شمیر کې کم شي"", ""زاړه ډله به ورک شي""]}"
568,Why would a perennial plant with an elongated stem a frequently used for lumber fall to the ground?,"{'text': array([""It's dead"", 'For water', 'For food', 'For sun'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,ولې به یو دایمي بوټی چې اوږد ساقه لري او معمولاً د لرګي لپاره کارول کیږي ونړیږي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""مړ دی"", ""د اوبو لپاره"", ""د خوراک لپاره"", ""د لمر لپاره""]}"
9-877,I'm an animal with a white fur and a large fluffy tail that lives in arctic regions; what am I?,"{'text': array(['weasel', 'snow fox', 'wolf', 'polar bear'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,زه یو حیوان یم چې سپینه وړۍ او لویه بوږنوسه لکۍ لرم او په قطبي سیمو کې اوسم؛ زه څوک یم؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""راسو"", ""واښینه روباه"", ""لیوه"", ""قطبي ییږ""]}"
406,Dairy is a source of,"{'text': array(['a vitamin that prevents blood loss',
       'a vitamin that treats amino acid deficiency',
       'a group of fat-soluble secosteroids',
       'a vitamin that helps treat liver problems'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,شیدې محصولات د دې سرچینه دي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""یو ویټامین چې د وینې تلف مخه نیسي"", ""یو ویټامین چې د امینو اسیدو کمښت درملنه کوي"", ""د غوړو محلول سیکوسټیرایډز ډله"", ""یو ویټامین چې د ینې ستونزو درملنه کوي""]}"
7-1132,"Atomic 26 is drawn to a device, it could be","{'text': array(['magnetized', 'Na', 'compass', 'K'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,اتومي ۲۶ یوه وسیلې ته راکشل کیږي، دا ممکن وي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""مقناطیسي شوی"", ""Na"", ""قطب نما"", ""K""]}"
7-479,why do tadpoles change into frogs?,"{'text': array(['tadpoles change to different animals',
       'tadpoles are really just fish',
       'they are young frogs still growing', 'none of these'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,ولې چورغوټي بیدکانو ته بدلیږي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""چورغوټي بیلو حیواناتو ته بدلیږي"", ""چورغوټي اصلاً ماهیان دي"", ""دوی ځوان بیدکان دي چې لا وده کوي"", ""له دې څخه هیڅ یو نه""]}"
609,What do cows eat?,"{'text': array(['Chickpeas', 'Chocolate', 'Steak', 'Poultry'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,غوایان څه خوري؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""نخود"", ""چاکلیټ"", ""سټیک"", ""مرغان""]}"
1568,Which object conducts electricity?,"{'text': array(['Window', ""Rubik's Cube"", 'Ship Anchor', 'Boulder'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,کوم شی بریښنا تیروي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""کړکۍ"", ""روبیکس کیوب"", ""د کشتۍ لنګر"", ""لویه ډبره""]}"
9-418,Glucose travels,"{'text': array(['from roots to leaves of a daffodil',
       ""from a rose's leaves to the atmosphere"",
       ""from a daisy's leaves into it's underground support system"",
       ""from the sun to a sunflower's buds""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,ګلوکوز سفر کوي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د نرګس ریښو څخه پاڼو ته"", ""د ګلاب پاڼو څخه فضا ته"", ""د ګلمرغۍ پاڼو څخه ځمکنیو ملاتړي سیسټم ته"", ""له لمر څخه د ګل مرغۍ غوټیو ته""]}"
7-1050,Evaporation,"{'text': array(['only happens in the summer',
       ""is like nature's disappearing water trick"", 'is caused by snow',
       'involves the disappearance of sunlight'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,تبخیر,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""یوازې په اوړي کې پیښیږي"", ""د طبیعت د اوبو ورکیدو چال ته ورته دی"", ""د واورې له امله رامنځته کیږي"", ""د لمر رڼا ورکیدل شامل دي""]}"
9-510,"In order for crops to grow food safely, pesticides are used on them. When it floods, this causes t he what to be poisonous?","{'text': array(['air', 'Corn', 'Runoff', 'farmers'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,د فصلونو خوندي ودې لپاره، کیمیاوي درمل کارول کیږي. کله چې سیلاب شي، دا لامل کیږي چې څه زهري شي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""هوا"", ""جوار"", ""بهیدنه"", ""کروندګر""]}"
9-519,The boy was able to warm the fireplace without a lighter thanks to what?,"{'text': array(['friction', 'metal', 'wishing', 'magic'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,هلک د لایټر پرته اور بلولی شو. دا د څه له امله وو؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""رخونه"", ""فلز"", ""آرزو"", ""جادو""]}"
9-637,Where would a duck like to live?,"{'text': array(['the Sahara', 'Antarctica', 'the Appalachian mountains',
       'Death Valley'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,مرغابۍ چیرته اوسیدل خوښوي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""صحرا"", ""انټارکټیکا"", ""اپالاچین غرونه"", ""ډیت ویلي""]}"
473,What do tuna eat?,"{'text': array(['Atlantic menhaden', 'Swedish fish', 'gummy fish', 'laminariales'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,ټونا ماهي څه خوري؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""اتلانتیک منهاډن"", ""سویډش مصنوعي ماهي"", ""ګمي ماهي"", ""لامیناریالس""]}"
